timecode,character
0.0218579234972678,YODA
0.387978142076503,YODA
0.688524590163934,YODA
0.710382513661202,YODA
0.721311475409836,YODA
0.978142076502732,YODA
0.983606557377049,YODA
0.989071038251366,YODA
1.04,YODA
1.07333333333333,YODA
1.14,YODA
1.16666666666667,YODA
1.31333333333333,YODA
1.33333333333333,YODA
1.34,YODA
1.46,YODA
1.74,YODA
1.79333333333333,YODA
1.91333333333333,YODA
1.92666666666667,YODA
1.95333333333333,YODA
1.98,YODA
2.3195020746888,YODA
2.34439834024896,YODA
2.35684647302905,YODA
2.37344398340249,YODA
2.37759336099585,YODA
2.38174273858921,YODA
2.48547717842324,YODA
2.53526970954357,YODA
2.56016597510373,YODA
2.58921161825726,YODA
2.63070539419087,YODA
2.63485477178423,YODA
2.66390041493776,YODA
2.6804979253112,YODA
2.69294605809129,YODA
2.69709543568465,YODA
2.72199170124481,YODA
2.7344398340249,YODA
2.76348547717842,YODA
2.76763485477178,YODA
2.81327800829876,YODA
2.82572614107884,YODA
2.83402489626556,YODA
2.84232365145228,YODA
2.85892116182573,YODA
2.86307053941909,YODA
2.87136929460581,YODA
2.87551867219917,YODA
2.92116182572614,YODA
2.92946058091286,YODA
2.93775933609959,YODA
2.94605809128631,YODA
2.96680497925311,YODA
2.9792531120332,YODA
4.06071428571429,YODA
4.52857142857143,YODA
4.55357142857143,YODA
4.58928571428571,YODA
4.59642857142857,YODA
4.62857142857143,YODA
4.65,YODA
4.71071428571429,YODA
5.33823529411765,YODA
5.34558823529412,YODA
5.35294117647059,YODA
5.99264705882353,YODA
0.0218579235,OBI-WAN
0.043715847,OBI-WAN
0.0491803279,OBI-WAN
0.0546448087,OBI-WAN
0.0655737705,OBI-WAN
0.087431694,OBI-WAN
0.0983606557,OBI-WAN
0.1038251366,OBI-WAN
0.1092896175,OBI-WAN
0.1202185792,OBI-WAN
0.131147541,OBI-WAN
0.1420765027,OBI-WAN
0.1639344262,OBI-WAN
0.1803278689,OBI-WAN
0.1857923497,OBI-WAN
0.1912568306,OBI-WAN
0.2131147541,OBI-WAN
0.2295081967,OBI-WAN
0.2404371585,OBI-WAN
0.2568306011,OBI-WAN
0.2950819672,OBI-WAN
0.306010929,OBI-WAN
0.3333333333,OBI-WAN
0.3387978142,OBI-WAN
0.3661202186,OBI-WAN
0.3879781421,OBI-WAN
0.4207650273,OBI-WAN
0.4316939891,OBI-WAN
0.4972677596,OBI-WAN
0.5409836066,OBI-WAN
0.5901639344,OBI-WAN
0.6120218579,OBI-WAN
0.6174863388,OBI-WAN
0.6666666667,OBI-WAN
0.6885245902,OBI-WAN
0.7049180328,OBI-WAN
0.7213114754,OBI-WAN
0.7267759563,OBI-WAN
0.7431693989,OBI-WAN
0.7486338798,OBI-WAN
0.7595628415,OBI-WAN
0.7759562842,OBI-WAN
0.7868852459,OBI-WAN
0.7978142077,OBI-WAN
0.8087431694,OBI-WAN
0.8415300546,OBI-WAN
0.9016393443,OBI-WAN
0.9071038251,OBI-WAN
0.9234972678,OBI-WAN
0.9398907104,OBI-WAN
0.9781420765,OBI-WAN
0.9836065574,OBI-WAN
0.9890710383,OBI-WAN
0.9945355191,OBI-WAN
1.04,OBI-WAN
1.0533333333,OBI-WAN
1.06,OBI-WAN
1.0733333333,OBI-WAN
1.0866666667,OBI-WAN
1.1,OBI-WAN
1.1066666667,OBI-WAN
1.1133333333,OBI-WAN
1.12,OBI-WAN
1.1266666667,OBI-WAN
1.14,OBI-WAN
1.1466666667,OBI-WAN
1.1533333333,OBI-WAN
1.16,OBI-WAN
1.1666666667,OBI-WAN
1.18,OBI-WAN
1.1933333333,OBI-WAN
1.2,OBI-WAN
1.22,OBI-WAN
1.2266666667,OBI-WAN
1.26,OBI-WAN
1.3066666667,OBI-WAN
1.3133333333,OBI-WAN
1.3333333333,OBI-WAN
1.3533333333,OBI-WAN
1.3666666667,OBI-WAN
1.3733333333,OBI-WAN
1.38,OBI-WAN
1.3866666667,OBI-WAN
1.4,OBI-WAN
1.4066666667,OBI-WAN
1.4133333333,OBI-WAN
1.42,OBI-WAN
1.4266666667,OBI-WAN
1.4333333333,OBI-WAN
1.44,OBI-WAN
1.4466666667,OBI-WAN
1.46,OBI-WAN
1.48,OBI-WAN
1.5,OBI-WAN
1.5066666667,OBI-WAN
1.5333333333,OBI-WAN
1.54,OBI-WAN
1.5466666667,OBI-WAN
1.5533333333,OBI-WAN
1.56,OBI-WAN
1.6133333333,OBI-WAN
1.62,OBI-WAN
1.6666666667,OBI-WAN
1.6733333333,OBI-WAN
1.68,OBI-WAN
1.6866666667,OBI-WAN
1.7133333333,OBI-WAN
1.7266666667,OBI-WAN
1.74,OBI-WAN
1.76,OBI-WAN
1.7733333333,OBI-WAN
1.82,OBI-WAN
1.86,OBI-WAN
1.8733333333,OBI-WAN
1.8866666667,OBI-WAN
1.9133333333,OBI-WAN
1.9466666667,OBI-WAN
1.9533333333,OBI-WAN
1.98,OBI-WAN
2.0041493776,OBI-WAN
2.0082987552,OBI-WAN
2.0124481328,OBI-WAN
2.020746888,OBI-WAN
2.0248962656,OBI-WAN
2.0331950207,OBI-WAN
2.0373443983,OBI-WAN
2.0456431535,OBI-WAN
2.0497925311,OBI-WAN
2.0622406639,OBI-WAN
2.0788381743,OBI-WAN
2.0829875519,OBI-WAN
2.0912863071,OBI-WAN
2.0954356846,OBI-WAN
2.0995850622,OBI-WAN
2.1037344398,OBI-WAN
2.112033195,OBI-WAN
2.1203319502,OBI-WAN
2.1244813278,OBI-WAN
2.132780083,OBI-WAN
2.1410788382,OBI-WAN
2.1493775934,OBI-WAN
2.1576763485,OBI-WAN
2.1618257261,OBI-WAN
2.1742738589,OBI-WAN
2.1867219917,OBI-WAN
2.2074688797,OBI-WAN
2.2157676349,OBI-WAN
2.2199170124,OBI-WAN
2.22406639,OBI-WAN
2.2323651452,OBI-WAN
2.2365145228,OBI-WAN
2.2406639004,OBI-WAN
2.244813278,OBI-WAN
2.2531120332,OBI-WAN
2.2572614108,OBI-WAN
2.2614107884,OBI-WAN
2.2780082988,OBI-WAN
2.2821576763,OBI-WAN
2.2863070539,OBI-WAN
2.3153526971,OBI-WAN
2.3278008299,OBI-WAN
2.3443983402,OBI-WAN
2.3485477178,OBI-WAN
2.356846473,OBI-WAN
2.3734439834,OBI-WAN
2.3900414938,OBI-WAN
2.398340249,OBI-WAN
2.4066390041,OBI-WAN
2.4107883817,OBI-WAN
2.4232365145,OBI-WAN
2.4273858921,OBI-WAN
2.4315352697,OBI-WAN
2.4356846473,OBI-WAN
2.4439834025,OBI-WAN
2.4481327801,OBI-WAN
2.4522821577,OBI-WAN
2.4564315353,OBI-WAN
2.4605809129,OBI-WAN
2.4647302905,OBI-WAN
2.468879668,OBI-WAN
2.4730290456,OBI-WAN
2.4937759336,OBI-WAN
2.4979253112,OBI-WAN
2.5020746888,OBI-WAN
2.5062240664,OBI-WAN
2.510373444,OBI-WAN
2.5145228216,OBI-WAN
2.5394190871,OBI-WAN
2.5477178423,OBI-WAN
2.6265560166,OBI-WAN
2.6514522822,OBI-WAN
2.6556016598,OBI-WAN
2.6597510373,OBI-WAN
2.6639004149,OBI-WAN
2.6721991701,OBI-WAN
2.6763485477,OBI-WAN
2.6804979253,OBI-WAN
2.6929460581,OBI-WAN
2.6970954357,OBI-WAN
2.7219917012,OBI-WAN
2.734439834,OBI-WAN
2.7634854772,OBI-WAN
2.7676348548,OBI-WAN
2.77593361,OBI-WAN
2.7925311203,OBI-WAN
2.7966804979,OBI-WAN
2.8091286307,OBI-WAN
2.8174273859,OBI-WAN
2.8298755187,OBI-WAN
2.8381742739,OBI-WAN
2.846473029,OBI-WAN
2.8506224066,OBI-WAN
2.8547717842,OBI-WAN
2.867219917,OBI-WAN
2.8796680498,OBI-WAN
2.887966805,OBI-WAN
